promo_id,promo_name,promo_type,discount_value,start_date,end_date,applicable_category,promo_channel,stackable_flag,min_order_value
PROMO-0001,Spring Sale 2013,percentage,12.0,2013-03-18,2013-04-17,,email,1,0
PROMO-0002,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,,online,0,0
PROMO-0003,Fall Launch 2013,percentage,10.0,2013-08-30,2013-10-02,,email,0,0
PROMO-0004,Year-End Sale 2013,percentage,20.0,2013-11-18,2014-01-02,,all_channels,0,50000
PROMO-0005,Urban Blowout 2013,fixed,50.0,2013-07-30,2013-09-02,Streetwear,online,0,150000
PROMO-0006,Rural Special 2013,percentage,15.0,2013-01-31,2013-03-01,Outdoor,in_store,0,0
PROMO-0007,Spring Sale 2014,percentage,12.0,2014-03-18,2014-04-17,,email,1,0
PROMO-0008,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,,social_media,0,0
PROMO-0009,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,,all_channels,0,100000
PROMO-0010,Year-End Sale 2014,percentage,20.0,2014-11-19,2015-01-02,,all_channels,0,100000
PROMO-0011,Spring Sale 2015,percentage,12.0,2015-03-18,2015-04-17,,all_channels,1,100000
PROMO-0012,Mid-Year Sale 2015,percentage,18.0,2015-06-23,2015-07-22,,social_media,0,0
PROMO-0013,Fall Launch 2015,percentage,10.0,2015-08-30,2015-10-01,,email,1,0
PROMO-0014,Year-End Sale 2015,percentage,20.0,2015-11-18,2016-01-02,,all_channels,1,150000
PROMO-0015,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
PROMO-0016,Rural Special 2015,percentage,15.0,2015-01-30,2015-03-01,Outdoor,in_store,0,0
PROMO-0017,Spring Sale 2016,percentage,12.0,2016-03-18,2016-04-17,,all_channels,0,0
PROMO-0018,Mid-Year Sale 2016,percentage,18.0,2016-06-23,2016-07-22,,online,0,0
PROMO-0019,Fall Launch 2016,percentage,10.0,2016-08-30,2016-10-01,,online,0,0
PROMO-0020,Year-End Sale 2016,percentage,20.0,2016-11-18,2017-01-02,,all_channels,0,0
PROMO-0021,Spring Sale 2017,percentage,12.0,2017-03-18,2017-04-17,,all_channels,0,0
PROMO-0022,Mid-Year Sale 2017,percentage,18.0,2017-06-23,2017-07-22,,online,0,150000
PROMO-0023,Fall Launch 2017,percentage,10.0,2017-08-30,2017-10-02,,all_channels,1,0
PROMO-0024,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,,all_channels,0,0
PROMO-0025,Urban Blowout 2017,fixed,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
PROMO-0026,Rural Special 2017,percentage,15.0,2017-01-30,2017-03-01,Outdoor,in_store,0,0
PROMO-0027,Spring Sale 2018,percentage,12.0,2018-03-18,2018-04-17,,all_channels,0,100000
PROMO-0028,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,,social_media,0,150000
PROMO-0029,Fall Launch 2018,percentage,10.0,2018-08-30,2018-10-01,,email,0,0
PROMO-0030,Year-End Sale 2018,percentage,20.0,2018-11-18,2019-01-02,,all_channels,0,0
PROMO-0031,Spring Sale 2019,percentage,12.0,2019-03-18,2019-04-17,,online,1,150000
PROMO-0032,Mid-Year Sale 2019,percentage,18.0,2019-06-23,2019-07-22,,social_media,0,0
PROMO-0033,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,,email,0,50000
PROMO-0034,Year-End Sale 2019,percentage,20.0,2019-11-18,2020-01-02,,all_channels,0,50000
PROMO-0035,Urban Blowout 2019,fixed,50.0,2019-07-30,2019-09-02,Streetwear,online,0,100000
PROMO-0036,Rural Special 2019,percentage,15.0,2019-01-30,2019-03-01,Outdoor,in_store,1,150000
PROMO-0037,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,,online,0,0
PROMO-0038,Mid-Year Sale 2020,percentage,18.0,2020-06-23,2020-07-22,,social_media,0,0
PROMO-0039,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,,all_channels,0,150000
PROMO-0040,Year-End Sale 2020,percentage,20.0,2020-11-18,2021-01-01,,all_channels,0,0
PROMO-0041,Spring Sale 2021,percentage,12.0,2021-03-18,2021-04-17,,online,1,0
PROMO-0042,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,,social_media,1,0
PROMO-0043,Fall Launch 2021,percentage,10.0,2021-08-30,2021-10-02,,email,0,0
PROMO-0044,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,,all_channels,1,0
PROMO-0045,Urban Blowout 2021,fixed,50.0,2021-07-30,2021-09-02,Streetwear,online,0,200000
PROMO-0046,Rural Special 2021,percentage,15.0,2021-01-30,2021-03-01,Outdoor,in_store,0,0
PROMO-0047,Spring Sale 2022,percentage,12.0,2022-03-18,2022-04-17,,all_channels,1,0
PROMO-0048,Mid-Year Sale 2022,percentage,18.0,2022-06-23,2022-07-22,,online,0,0
PROMO-0049,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,,all_channels,0,0
PROMO-0050,Year-End Sale 2022,percentage,20.0,2022-11-18,2022-12-31,,all_channels,0,50000