antecedent,consequent,support,confidence,lift,rule_orders,antecedent_orders,customer_segment,category_segment
CS=At Risk / Churn,CATSEG=Streetwear|Everyday,0.0951954265012115,0.29212221991270004,1.0401696928946746,49189,168385,At Risk / Churn,Streetwear|Everyday
CS=At Risk / Churn,CATSEG=Outdoor|Activewear,0.08083744261838224,0.24806247587374172,0.9442477147288046,41770,168385,At Risk / Churn,Outdoor|Activewear
CS=At Risk / Churn,CATSEG=Streetwear|Balanced,0.05215437493710278,0.16004394690738485,1.0058659377266468,26949,168385,At Risk / Churn,Streetwear|Balanced
CS=At Risk / Churn,CATSEG=Streetwear|Performance,0.05036422328706679,0.1545505834842771,1.0371402134529244,26024,168385,At Risk / Churn,Streetwear|Performance
CS=At Risk / Churn,CATSEG=GenZ|Trendy,0.019074307743518683,0.0585325296196217,1.0211937257295622,9856,168385,At Risk / Churn,GenZ|Trendy
CS=At Risk / Churn,CATSEG=Outdoor|Premium,0.014421848752506213,0.04425572349080975,0.9292389133762953,7452,168385,At Risk / Churn,Outdoor|Premium
CS=At Risk / Churn,CATSEG=Casual|All-weather,0.01054350939394174,0.03235442586928764,0.9292451513242639,5448,168385,At Risk / Churn,Casual|All-weather
CS=Bargain Hunters,CATSEG=Outdoor|Activewear,0.01647326577849341,0.42451748042491644,1.6159221959780847,8512,20051,Bargain Hunters,Outdoor|Activewear
CS=Bargain Hunters,CATSEG=Streetwear|Everyday,0.009275888495808142,0.2390404468605057,0.8511595874993837,4793,20051,Bargain Hunters,Streetwear|Everyday
CS=Bargain Hunters,CATSEG=Streetwear|Performance,0.0034138675790956734,0.08797566206174255,0.590376916555999,1764,20051,Bargain Hunters,Streetwear|Performance
CS=Bargain Hunters,CATSEG=GenZ|Trendy,0.0030403548564395142,0.07835020697222084,1.3669448474139196,1571,20051,Bargain Hunters,GenZ|Trendy
CS=Bargain Hunters,CATSEG=Streetwear|Balanced,0.0023320353927495955,0.060096753279138194,0.37770423848912205,1205,20051,Bargain Hunters,Streetwear|Balanced
CS=Bargain Hunters,CATSEG=Outdoor|Premium,0.002115281895664156,0.05451099695775772,1.1445692349963321,1093,20051,Bargain Hunters,Outdoor|Premium
CS=Bargain Hunters,CATSEG=Casual|All-weather,0.0016682278079254368,0.042990374544910476,1.2347181575981303,862,20051,Bargain Hunters,Casual|All-weather
CS=Champions,CATSEG=Streetwear|Everyday,0.119944031150574,0.26789859301043895,0.9539157866931879,61977,231345,Champions,Streetwear|Everyday
CS=Champions,CATSEG=Outdoor|Activewear,0.11982597790662569,0.26763491754738594,1.0187500482917733,61916,231345,Champions,Outdoor|Activewear
CS=Champions,CATSEG=Streetwear|Balanced,0.07214988504323458,0.1611489334111392,1.0128107070056582,37281,231345,Champions,Streetwear|Balanced
CS=Champions,CATSEG=Streetwear|Performance,0.07010620921357187,0.15658432211631979,1.0507879918785477,36225,231345,Champions,Streetwear|Performance
CS=Champions,CATSEG=GenZ|Trendy,0.024398315515679794,0.05449436988048153,0.9507415615073401,12607,231345,Champions,GenZ|Trendy
CS=Champions,CATSEG=Outdoor|Premium,0.023173271197330834,0.05175819663273466,1.08676859406234,11974,231345,Champions,Outdoor|Premium
CS=Champions,CATSEG=Casual|All-weather,0.015950735026591008,0.035626445352179646,1.0232201843475548,8242,231345,Champions,Casual|All-weather
CS=Hibernating / Low Engagement,CATSEG=Streetwear|Everyday,0.038088621215522644,0.31747644857400953,1.1304493718869026,19681,61992,Hibernating / Low Engagement,Streetwear|Everyday
CS=Hibernating / Low Engagement,CATSEG=Outdoor|Activewear,0.029867470718924902,0.24895147761001418,0.9476316923131147,15433,61992,Hibernating / Low Engagement,Outdoor|Activewear
CS=Hibernating / Low Engagement,CATSEG=Streetwear|Balanced,0.020266451977488602,0.16892502258355918,1.0616829285323404,10472,61992,Hibernating / Low Engagement,Streetwear|Balanced
CS=Hibernating / Low Engagement,CATSEG=Streetwear|Performance,0.01570495204328877,0.13090398761130467,0.8784553677653334,8115,61992,Hibernating / Low Engagement,Streetwear|Performance
CS=Hibernating / Low Engagement,CATSEG=GenZ|Trendy,0.005815573738765589,0.04847399664472835,0.84570650809594,3005,61992,Hibernating / Low Engagement,GenZ|Trendy
CS=Hibernating / Low Engagement,CATSEG=Outdoor|Premium,0.004861471291773431,0.04052135759452832,0.8508283071564995,2512,61992,Hibernating / Low Engagement,Outdoor|Premium
CS=Hibernating / Low Engagement,CATSEG=Casual|All-weather,0.0038705981622399925,0.0322622273841786,0.9265971366262704,2000,61992,Hibernating / Low Engagement,Casual|All-weather
CS=Loyal Customers,CATSEG=Streetwear|Everyday,0.018336958793611965,0.27115588243711186,0.9655141298237583,9475,34943,Loyal Customers,Streetwear|Everyday
CS=Loyal Customers,CATSEG=Outdoor|Activewear,0.01570495204328877,0.23223535472054488,0.8840019120252608,8115,34943,Loyal Customers,Outdoor|Activewear
CS=Loyal Customers,CATSEG=Streetwear|Balanced,0.012207866603704936,0.18052256532066507,1.1345727405246337,6308,34943,Loyal Customers,Streetwear|Balanced
CS=Loyal Customers,CATSEG=Streetwear|Performance,0.009426841824135501,0.13939844890249836,0.9354590179496272,4871,34943,Loyal Customers,Streetwear|Performance
CS=Loyal Customers,CATSEG=GenZ|Trendy,0.00498920103112735,0.073777294450963,1.2871630644401457,2578,34943,Loyal Customers,GenZ|Trendy
CS=Loyal Customers,CATSEG=Outdoor|Premium,0.003053901950007354,0.04515925936525198,0.9482104864958163,1578,34943,Loyal Customers,Outdoor|Premium
CS=Loyal Customers,CATSEG=Casual|All-weather,0.002784895377731675,0.04118135248833815,1.182761588147637,1439,34943,Loyal Customers,Casual|All-weather
